emotion,utterance
non-neutral,phoebe knows and shes just trying to freak us out thats the only explanation for it
disgust,we hate that guy
anger,are you kidding me joey joey joey joey joey joey joey joey joey joey
joy,yes
neutral,well they go into the chipper
joy,there he is
surprise,oh my god are you kidding
disgust,okay lady youre out of here
joy,that s right you lose sucker please still marry me
joy,all right i ll have a sandwich
surprise,i cant believe youd rather go out with him than me
neutral,oh i i have plans tonight
sadness,cause all i ever get to do now is pregnant stuff it just bums me out
sadness,i m sorry
anger,well why don t think of someone else for a change
sadness,so do you think you can forgive me
neutral,all good thanks do you maybe have a nickname have like a nickname that s easier to rhyme
disgust,yeah hate him
joy,howdy partner
non-neutral,now i gotta be careful
sadness,ben i want you to know that there may be some times when i may not be around like this
sadness,in that um they dont
non-neutral,oh dad really you don t need to
neutral,im back
neutral,hi sorry i m late were you sleeping
surprise,is he crazy you just had ross s baby
non-neutral,get out of here you lurker go on get
non-neutral,shes also a scientist so shes very smart and pretty and well its actually because of you really that were together i mean i saw what you had with that mike guy and i just said boy i want that
sadness,yeah
disgust,oh no
fear,i want her to think i might be in a restaurant yknow
fear,please please we just dont want to deal with telling everyone okay just promise you wont tell
neutral,yknow if youre gonna work late i could look in on him for you
anger,look this is my home and i want to be able to come and go whenever i want
neutral,yeah
fear,oh joey dont
fear,dont say it
neutral,i have a question about this scene
sadness,im sorry
non-neutral,ahh nooo
joy,ho ho you win dollars
surprise,david what what are you doing here aren t you supposed to be in russia
disgust,save it red unless you wanna spend the night in the slammer you apologize to the tree
disgust,you re marinara sauce tasted like tomato juice
non-neutral,oh maybe these ll taste a little like your grandmother s
anger,damnit
fear,no i mean no not you not you you you
surprise,oh my god are you serious
non-neutral,we were playing chess you said i was boring and then you took off your energy mask and you were cameron diaz
disgust,oh so youre saying youd choose convenience over health
sadness,i can get out joey i have too but then i lose my nerve and i always finish with go to the bathroom
anger,she broke my arm
neutral,well half a brownie
neutral,thank you just make yourself comfortable
sadness,yeah but
joy,go go go
non-neutral,oh i know
anger,you apologize to the tree right now or i am calling for backup backup backup
fear,please right now no every time i see him it s like is it on the lose is it watching me
joy,little toast here ding ding
fear,take whatever you want just please don t hurt me
anger,dude if you go back out there you re gonna be dead ross
anger,cut me a real piece
surprise,what what
disgust,oh well don t take it to the same place you took the stereo cause they ve had that thing for over a week
joy,thanks for letting me stay here i mean monica s place was nice but her fianc e sure stares a lot
non-neutral,or incredibly offensive
disgust,we are bad people
sadness,it s too complicated with you and rachel and the baby i i just it just wasn t meant to be
fear,what am i going to do
sadness,hey uh i m really really sorry about what happened in the cafeteria today
sadness,oh that s too bad i ve kinda been saving up uh are you sure there s no studies i can participate in
anger,oh my god where the hell have you been
joy,yeah
non-neutral,that sounds great
sadness,i dont want to be single okay i just i just i just wanna be married again
joy,um the matador ole ha ha ha
anger,i don t care about your dad i care about mona she was there and now she s totally freaked out
surprise,what it s o clock
surprise,you do that every year
surprise,oh really
disgust,dad please don t pick your teeth out here
disgust,she sells drugs to kids
sadness,ye ye yeah yes i do
joy,oh wow uh yeah that sounds great i m just gonna put this back in my pocket pretend
joy,did that
surprise,you really think it would be that different
neutral,women love guys who love babies
disgust,pheebs this guy has been obsessed with your sister for god knows how long okay you dont just give up something like that
surprise,oh barry come on this is all way too
neutral,y know what i think it is
neutral,i just i feel i i just
neutral,we will take a moonlit walk on the rue de la
surprise,oww joey she just kicked me
non-neutral,oh sure i m sure
joy,lets go
non-neutral,no it s uh my ex wife whitney is out there i cannot deal with her right now that woman is crazy
sadness,oh honey come on i m sorry i didn t
sadness,that s not how that was supposed to come out
non-neutral,oh yeah if you re gonna make me choose between you and the hat i choose the hat
fear,umm i ve been thinking i m just gonna come out and say it
non-neutral,i m just doing it to get back at ross
fear,uh oh
sadness,i m sorry i m sorry i m sorry
disgust,you two will have very hairy children
non-neutral,oh god ross i cannot do this
anger,what about my children drake huh no no no god
fear,come on pick up pick up
surprise,really
anger,and if and if you don t understand how important this is to me well then perhaps we shouldn t get married at all
joy,yeah
joy,oh oh that s great
fear,ross umm youve been in there for a long time im starting to get kinda freaked out
surprise,why
non-neutral,ha ha it s not my baby ha ha ha
fear,oh no could i get anyone a coffee or poison no just for me okay
disgust,including umm evil bitch and uh sick bastard
neutral,no i ve just always wanted to do that can you help me clean this up
disgust,cause you re a little princess daddy buy me a pizza daddy buy me a candy factory daddy make the cast of
fear,four please i m really nervous thank you
disgust,rachel its not that your friend is bad its that shes so bad she makes me want to put my finger through my eye into my brain and swirl it around
joy,hey so estelle lined up a bunch of auditions for me tomorrow and i ll have my health insurance back in no time
fear,was it my work were they mad was it jack did he yell
disgust,i dont care if you are my brother
neutral,my brother the phd would like to know if theres any way to treat this orally
sadness,then she ll have to come back here and live all alone
surprise,you really like it
fear,this is a freaky place
disgust,will you grow up im not talking about sexy stuff but like when im cooking naked
anger,im just gonna go over there and confront them right now
sadness,i mean why am i only attracted to guys where there s no future
non-neutral,i know it sounds crazy but chandler this is the greatest sandwich in the world
anger,now look i deserve to know where i came from
sadness,i can never kiss you again when its all i can do not to kiss you right now
anger,stop going through my stuff
fear,look confident
anger,go little boy go
joy,tomorrow night it is then i should be out of court by six
disgust,well you should be embarrassed
sadness,yknow what the saddest part is when we were playing together that was like the most fun i ve ever had in like all my lives
surprise,i don t know how any of these got opened
joy,sure
joy,me too
sadness,well i kinda wanted to sell the cookies the girl who sells the most wins a trip to spacecamp and gets to sit in a
sadness,oh god i m sorry about this
joy,yes
joy,hi
fear,i i keep hearing all these rumors that i might get fired
surprise,the ring is gone
surprise,what
joy,nine months from now we can be here having our own baby
disgust,dude you are sick
surprise,you told her before you told us
sadness,anyway she didn t want to stay
fear,well she walked in when i was looking at the ring brochures you can understand that right guys guys
joy,hey there little fella
fear,what did what did he say
sadness,because its impossible to find her apartment she lives in some like of hot girl parallel universe or something
neutral,hi okay don t be mad at me but i couldn t resist
joy,hey how s my pal toby doing today
sadness,now i look around this cafeteria and y know what i see i see i see division
neutral,is
non-neutral,oh
sadness,good bye monica i wish you a lifetime of happiness with him
surprise,look
non-neutral,we just broke up first thing she does
neutral,listen i know you wanted to talk to me but i have an idea that may make you want to stay married we register and
sadness,thanks
non-neutral,i know my grandmother s gonna see this
surprise,wow that was good that was tweezers
surprise,no
sadness,bye chandler i miss you already
sadness,well the old lady died
non-neutral,he obviously lost his mind
non-neutral,come on more
non-neutral,oh well that s great so i guess this is ah this is good bye then huh good bye
anger,oh my god i love ross i hate ross i love ross i hate ross
fear,but i really think i can do it i m just gonna need some help
joy,hey
fear,i was scared of telling you
surprise,youre not gone
non-neutral,remember when ross tried to say butternut squash
anger,yeah well missy you better be glad that list is laminated
sadness,were sorry
neutral,her names ronni shes a pet mortician
joy,thread
non-neutral,good job today
joy,of course he s gonna have his uncle joey
anger,hi is my misery amusing to you
anger,oh god get out
sadness,my bed s so boring
disgust,oh my god ohh that is it i m leaving you are just a horrible person
sadness,no no it s not it s not gonna be okay it sucks no swing band no lilies
anger,monica i m not gonna screw it up
fear,i i am brave
fear,i know dont switch hands okay
joy,thats great
neutral,hey rachel isnt that stuff almost pure
neutral,hi
fear,no no we
joy,hey
joy,you are not going to believe it joshua came into work today and guess what happened
sadness,i m sorry daddy
joy,hey
non-neutral,this is the first time in my life i m doing something that i m actually good at
joy,yknow what youre right phoebe youre right thank you
non-neutral,he s got something plastic lodged in his throat we ve got to go to the hospital
disgust,it made me nuts
anger,and this is not the only hospital in this city and we have no problem to whoa
sadness,ohh i lost my mom to suicide
non-neutral,wow nice manly and also kind of a slut
surprise,youre over me
anger,she keeps lying to me
disgust,no
sadness,so what about us everything we feel for each other
neutral,y know twin stuff is always a real big seller
non-neutral,i am hurt a plague on both your houses
fear,oh god
anger,no no you cant arrest me no i wont go back i wont go back to that hell hole
disgust,fun where was the fun tell me specifically which part was the fun part wheres my puck
fear,oh joey i have such a problem
non-neutral,just being friendly
neutral,okay
non-neutral,its just my knitting thats all yes i knit this im very good
fear,all right here he comes i m gonna do this i m gonna tell him i m gonna be strong
surprise,well when jake did it i saw that he was wearing women s underwear
sadness,one more chance ursula please
anger,fine
fear,cause i kinda all ready told her uh it was it was already taken care of
sadness,i should just go on to happier things okay umm why don t you tell about your lovely wedding
disgust,you have no idea how loud they are
fear,look i never should have kissed your girlfriend but i m
neutral,yeah no thats what i was thinking
non-neutral,hey hey hey now this was no one s fault pheebs okay it was an accident
sadness,look i know things have been a little tight since janine moved out
disgust,its ugh
sadness,im sorry thats all the time we have
joy,ooh phoebe s here okay let s turn out all the lights and we ll just watch the movie
disgust,well at least you re not hearing it for the first time at your fifth grade halloween party
non-neutral,i mean it is so annoying
surprise,whoooaa
fear,you re welcome i m sorry did i hurt you
joy,so wow this is pretty wonerful huh
sadness,this is hard
disgust,can we turn the tv off okay do we really want to spend the entire weekend like this
joy,well you said that you had customers lined up in the street so i am here to entertain
surprise,wow that s exciting you went to japan made up a woman
neutral,yeah a lot a lot a lot
neutral,that fridge has got to be stocked okay that s your department now
sadness,knowing ill never hold you in my arms again or touch your skin or feel your lips knowing ill never make love to you
fear,i im sorry sorry
neutral,i mean it s bad enough that i m in love with my roommates girlfriend which by the way i think she knows
fear,well i i got this blinding pain in my stomach when i was lifting weights before then i uh passed out and uh haven t been able to stand up since
joy,i m so happy for me
disgust,no no
neutral,which by the way is the real san francisco treat i got her machine
fear,i said geez relax monnnnn
non-neutral,have i got a surprise for you pack your bags
joy,good job couldn t have done it without ya
surprise,what are you guys doing together
sadness,maybe this would ve happened if i d been more nurturing or i d paid more attention or i had a uterus
non-neutral,the little jail between the doors
fear,god do think it really doesn t hurt cause how can they do that
joy,i m so glad you liked it
fear,uhh i think i just got engaged
non-neutral,okay no the important thing is that you see what i m saying yknow just yknow this is clearly wrong
sadness,stop it chandler i m sorry too
anger,hey it s been like three weeks
surprise,i cant believe he did this
sadness,i ve been talking to you for five minutes now about killing myself and no one s even looked up from their desk
neutral,hey joey come taste this
sadness,aww pheebs that sucks
sadness,well first for forgetting to throw you a bridal shower
disgust,oh ew ew ew ugh y know what this is too weird
disgust,ewww yeah umm i think i m gonna stay here
anger,okay
fear,okay i can t imagine i can t imagine my life without you
fear,look please please dont go anywhere okay
disgust,i know he s too charming but if you two start going out then it s just gonna make it so much harder for me to hate him
anger,your friends are outta here pal
sadness,please help me out for old times sake
disgust,oh this is just terrible
sadness,my late husband gave me that lighter im not kidding
fear,what am i going to do
neutral,yes
disgust,oh yeah he looked like a real lumberjack in those pink lacys
non-neutral,yeah i know its ridiculous i cant see you either
fear,um yknow before we go ah there s something i need to say
disgust,fine okay enjoy your concert
fear,but if
disgust,no you kidding the guys a freak
fear,no no no no
surprise,water breaking what do you mean whats that water breaking
sadness,oh im sorry
fear,but now that you re not i d really like to ask you out sometime
non-neutral,i m sorry
anger,okay i m next don t don t start another game i said i m next phoebe
anger,and don t you follow me
fear,joey joey something feels weird and not good weird i don t whoa
sadness,look i just saw my best friends brains smeared across the canvas that s not gonna be me not me
surprise,why
neutral,where you work the uh waiters eat with the waiters right
anger,okay stop
fear,how do you know
disgust,they rushed into this thing so fast it s ridiculous
non-neutral,guys
disgust,ugh monica i know about you and chandler
joy,listen i gotta tell ya i i m having a great time
disgust,oh yeah boy urine cuts
neutral,we fell asleep that is all
surprise,ok but you know what i gotta say im really impressed that you were able to memorize all this so quickly
anger,hey you wanna live to see your baby
sadness,yes and he said really mean things that were only partly true
fear,look i look i m having a great time with you and i just don t want us to move to fast or put to much pressure on us
sadness,i didn t know you and carol were getting divorced i m sorry
surprise,oh hey whoa whoa don t worry
neutral,what do you think of adding him to our team
disgust,you don t know how that happened your dog thought my diaphragm was a chew toy
disgust,well thats different my lie didnt make one of us a felon in states what were you thinking
fear,well it s just the reason that i m asking is because i kind of eh uh i was unable to i mean i really wanted to but i couldn t
joy,i know
anger,oh yeah really is it ross yeah okay well let me make this a just a little bit easier for you
neutral,so just bring it back downstairs what s the problem
joy,i already feel like i know you a little better
disgust,im joan collins
joy,ohh you and your ways since it s christmastime i m going to be one of those people collection donations
surprise,look at that guy by the window wow
non-neutral,i i can t help you
non-neutral,in fact i i i was married to one of them
neutral,you know where i work
neutral,you ll see
sadness,yknow for me anyway
non-neutral,that s okay all right i m gonna play song that s really really sad it s called magician box mix up
sadness,so if you wear that you ll make mine less special
fear,no thanks i have a good one too i just i i can t see him
surprise,i m not
neutral,oh yes it s me sorry
surprise,what
anger,i am not high maintenance
joy,done i did it heh who s stupid now
disgust,thats not what were gonna do
surprise,i do
surprise,ooh
joy,god you have to tell me what happens tomorrow
non-neutral,yeah its his uh innate alan ness that that that we adore
sadness,i m sorry i know this must be really hard it s over
neutral,what
surprise,what what what
non-neutral,hey now that was an accident okay
surprise,what s with all this sand
anger,we have no choice
fear,you know you probably didnt know this but back in high school i had a um major crush on you
fear,did she call you you told her i was sick right always tell her i am sick
joy,and y know what jake says that women s underwear is actually more comfortable and he loves the way the silk feels against his skin
joy,definitely phoebe you will not find a single game show host who s ass i cannot kick
non-neutral,i m really not deciding
surprise,eh i mean i mena shes not unattractive but hot i
disgust,dont you realise what youre youre doing to yourself
sadness,please promise me that you ll tell her that
joy,that was amazing
sadness,what i m just said
fear,listen can you promise me that you won t tell her though
surprise,what did you just say
joy,i do i do
non-neutral,all right all right i m coming over and i m bringing chinese food
joy,my surprise party
fear,yeah but i don t wanna die
disgust,ew what is that something exploded
surprise,whoa whoa whoa slow down you go
joy,oh aint this nice its so quiet i could just lie here all day
fear,what am i gonna do
disgust,i dont care rach look i am tired of being the guy who knows all the secrets but cant tell anyone
surprise,what do you mean this might be your only chance
sadness,okay i m sorry
neutral,no we re not
surprise,really
disgust,do you remember how he behaved at our wedding
disgust,oh my god what were you thinking
neutral,what
neutral,you bet maybe some other time
sadness,oh im sorry oh i just i thought we could have them whipped and then add some peas and onions
joy,lift and slide
joy,i love working with designers
joy,last night i just felt it and i went into joey s room and he was sleeping
anger,that s right wesley i just stopped by to say that you re not a real doctor and that woman s brain is fine
sadness,sorry pheebs
surprise,ahh
sadness,yeah its a real shame you cant make it to that one woman show tonight
neutral,well thats not a third nipple
fear,okay
non-neutral,could tonight be the night
surprise,oh my god
surprise,wait you re going out with kathy
fear,youd better act surprised
fear,does it
anger,that s my job
surprise,oh
non-neutral,she loves sandwiches sports although she is a met fan not much of an issue now but if we were ever to have kids well that s a
fear,don t don t just dismiss this so fast
anger,i don t care
disgust,you know it still smells like monkey in there
joy,i love you too
neutral,do you all promise
fear,and i need to flip the light switch on and off times before i leave a room or my family will die
non-neutral,we ll we ll take stuff from mine and whatever we can pass off as hers we ll we ll put em in there
disgust,oh my god you are pure evil
surprise,oh wow
sadness,you have no idea how much i need this
non-neutral,it s just yknow been a couple of hours and she hasn t called not that i even care yknow
sadness,and of course the indians
fear,that s funny umm it s not funny
anger,gimme the this
joy,all i could think of was y know is he gonna kiss me is he gonna kiss me
neutral,well i just wanted to see where you lived now give me the tour
sadness,i tried to reach you at work there s been a fire
anger,no
fear,oh no
surprise,i m sorry sir i don t understand
joy,come on you know thanksgiving ooh you got the bigger half whatd you wish for
non-neutral,ohh ohh
disgust,sells drugs to kids
disgust,now if after dinner you still really need to bust someone i know a hot dog vendor who picks his nose
non-neutral,no you didn t
sadness,wow i m never gonna have that feeling again am i
anger,you know what else i m not gonna miss
anger,no suds no save ok
sadness,i know no no yknow you don t deserve this you don t ross
sadness,i don t want to lose you
surprise,how can i
non-neutral,but hey look you know the good thing is is that we spent the whole day together and i survived and whats even more amazing so did she
surprise,rach are you okay
anger,it s not fair ross we got here first
neutral,all right lets go pheebs
disgust,nothing it s just old and dingy that s all
surprise,what guys im not
neutral,that s very good what s your name
non-neutral,but when we were in high school i made out with james farrell even when i knew that you liked him
joy,thank you you havent said anything
joy,that is a loooot of electricity
sadness,well that was depressing i think i just bought a soft pretzel from one of the kids from
sadness,but lately all the guys i meet seem really nice at first then they turn out to be the biggest jerks
anger,oh who should i blame the nice bell man who had to drag out luggage to different rooms
non-neutral,i guess joey was right it does nothing
disgust,no
non-neutral,y know one of them had never been to a bachelor party before
fear,go go go go go go go go go go
joy,oh yeah hes got that great baby smell get a whiff of his head
anger,oh some idiot customer put a suggestion in the suggestion box
fear,well theres no way im gonna get a shot
disgust,aww i dont want to see that
joy,all right let s play bamboozled
fear,youd tell me if you were moving out right
joy,i did it
neutral,he could never get a woman like that in a million years
sadness,umm ma am do you have a minute i kind of have some bad news i don t think i can move to tulsa
neutral,sorry about that so what have you been up to
anger,all right well there you go stop it stop it stop it
sadness,i ve got some bad news
disgust,well you may wanna rethink the dirty underwear
sadness,well its official there are no good movies
anger,phoebe you said it was urgent
anger,i don t care you just get him
non-neutral,nooo no that s not true no best time ever yeah you rocked my world
neutral,can i ask you something
non-neutral,and ross with his over pronouncing every single word
disgust,this morning i caught him looking into our apartment
anger,you had no relationship
fear,tulsa is italy please don t make me go there
neutral,bad things happen to me anyway
anger,so if i said yes he would know i had nothing better to do than wait around for an invitation to his stupid party
surprise,why didn t i see that
non-neutral,i think there are people in there having sex
surprise,oh
surprise,somebody went to college wow what is it i m sorry
sadness,look i feel really bad about how i freaked you out before so i called the father and asked him to meet you here so you can tell him
anger,i got no sleep last night
disgust,and the two times we went out were just plain awkward
anger,oh really that s how treat a friend you get her in trouble and then refuse to marry her
sadness,we ruined everything
non-neutral,oh god just do it call her stop being so testosteroney
anger,damnit phoebe
surprise,my god
fear,uh pheebs some people call that breaking and entering
surprise,what they wanted a scary story
non-neutral,thanks a lot
anger,if i can t have it you can t have it
disgust,bye what a manipulative bitch
disgust,so we finally get to the top of the mountain and airhead here forgets the camera
non-neutral,look all my stuff is safe and dry and all hers is is is growing new stuff
anger,happy is that what i m supposed to be vic happy
sadness,well it s just my entire family was run out of scotland by vikings anyway lots of bad memories
neutral,i feel
non-neutral,ok ive got milk here you go oh better
anger,all right thats thats it get off her
anger,it doesn t say that in the script
fear,i ve kinda of had this ah this crush on you
fear,no umm okay but while you dial let me show you the features of my new ringing handbag oh it does work
fear,i m going crazy okay do you have any thing around here that looks homemade
disgust,uh huh
disgust,what are you crazy
disgust,thats fine just dont bring it in my mouth
disgust,no a guy would be saying i m never gonna get to sleep with anyone else
anger,how do you expect me to stay calm
surprise,not him you don t
sadness,oh shoot i work monday nights
disgust,huh rach i got to say it s gonna take a lot of money for me to go out on a date with a dude
non-neutral,she loves you
fear,so so that s that s what i m doing now
fear,listen do you think and try not to let my intense vulnerability become any kind of a factor here but do you think it would be okay if i asked you out
non-neutral,oh my god look look he s taking off her clothes
neutral,phoebe we re getting
neutral,i got here a little early myself
fear,no no no no
joy,really thats great
surprise,how could it not be
neutral,i m going to the bathroom
disgust,youre making a big mistake here
joy,hey hey hey ho ho i got this one
joy,and a brownie
disgust,oh please
surprise,oh my god monica s gonna go out with a millionaire
surprise,it worked
surprise,what you just click when they click
neutral,yeah she s fired
fear,joey i am scared to death about this
joy,oh it s like a huge weight has been lifted
non-neutral,oh come on we just had this huge fight all right don t i have to wait a while
fear,oh no no i can t do that
sadness,well we re gonna miss you around here
fear,but only because i was up all night worried about this meeting ain t that funny
neutral,yes well mr kostelick wants you to stop by his office at the end of the day
joy,i see pizza
fear,i m so sorry please stop freaking out
fear,what should i wear now i m all nervous
joy,yeah
non-neutral,it was the ring
anger,okay do you okay do you have a search warrant because the last time i checked this was still america
neutral,yeah
disgust,they were huge when she sneezed bats flew out of them
disgust,and shame on all of you
non-neutral,oh im still mad at them but i also now that they bring happiness to lots of kids whos moms didnt kill themselves so by supporting them im doing a good thing but im not
fear,this is the only dessert and if i screw it up everybodys gonna be like oh remember that thanksgiving when rachel screwed up the trifle
surprise,oh a subscription to
neutral,no
non-neutral,of course i am
neutral,what are these
non-neutral,wow this is so amazing i uh i really thought i d have to talk you into this more
neutral,see ya then
fear,yes
joy,i know i almost called off my wedding oh who s your band
surprise,that mail guy had no idea there was something going on between us
neutral,no no they will i just uh
sadness,i m guess i m just done with the whole dating thing
anger,what are you talking about ross you just said that you read it twice
surprise,it took you that long to figure it out huh
surprise,how do you do that
anger,joey you re this guy s teacher i mean how could you do this
surprise,you have a son
disgust,we re not gonna do that
neutral,yes i do
sadness,don t go
non-neutral,you you you didn t know that well i guess my work here is done
surprise,wow
non-neutral,ahh no
disgust,yes on a scale from to being the dumbest a person can look you are definitely
fear,i don t know what i m going to do
surprise,wait you forgot your legs
fear,i don t want to lose you
neutral,come on you
anger,oh not again
disgust,ugh ross
anger,i know what time it is but im looking at the wenus and im not happy
fear,there huh hmm there there was an incident
joy,hi
sadness,im so sorry no im sorry no im sorry no im sorry
neutral,i really thought you making a good point i mean yknow until you got cut off
non-neutral,i mean i love i love this little guy
sadness,you re you re really you re so good
anger,they re still very angry
sadness,were sorry pheebs were sorry
surprise,phoebe what are you doing
neutral,all right sorry
non-neutral,well i i might ve said supergay
disgust,no i do not care what my hormones are doing i am not going to just do it with some random guy
disgust,oh sure every sunday night im telling myself im quitting but every monday morning its like
fear,uh oh
